 2  3  7  8  10  11  12  14  16  18  22  25  26  27  29  30  31  32  33  35  36  37  38  45  48  49  50  52  53  54  59  61  62  63  66  71  74  75  76  77  78  80  81  83  84  88  89  90  94  95
 0  1  2  4  10  13  16  17  19  25  27  28  29  30  31  33  35  36  37  40  41  42  44  47  49  51  57  60  62  65  66  67  69  71  73  74  77  78  79  82  83  84  85  87  88  89  92  94  95  99
 0  1  3  4  5  6  7  8  9  11  12  16  17  22  23  24  26  27  36  38  39  40  41  42  43  45  46  48  49  52  53  57  60  61  63  64  65  67  71  72  74  75  78  82  85  87  89  93  96  98
 1  2  5  6  7  8  12  13  14  18  20  22  23  27  31  32  34  35  36  37  40  41  45  46  47  53  54  57  58  59  60  61  62  63  64  66  69  72  74  75  76  79  81  85  86  87  88  93  95  96
 1  3  4  5  6  7  8  10  11  12  13  17  18  20  21  22  23  24  27  30  31  32  34  37  40  41  42  43  44  46  47  55  58  60  61  62  63  64  66  67  70  74  75  78  80  82  89  94  96  99
 2  5  6  7  8  9  11  12  14  16  17  20  21  22  23  25  30  37  38  40  41  45  47  49  50  51  53  56  57  58  64  65  71  73  74  75  77  78  79  80  83  85  86  89  90  92  94  95  96  99
 1  4  6  8  9  16  19  20  21  23  24  26  28  29  34  35  36  37  39  41  43  44  45  46  47  48  51  52  53  54  56  57  59  61  68  69  74  75  77  78  79  80  81  83  84  90  92  94  96  99
 0  1  2  3  4  5  7  8  10  11  12  13  15  16  17  19  21  24  26  31  33  40  43  44  47  48  51  52  54  55  56  57  58  59  60  63  64  65  68  71  73  80  82  83  87  88  90  91  92  97
 1  5  6  7  8  9  10  11  13  15  18  21  23  25  29  30  34  35  37  41  43  46  47  48  49  52  53  55  56  57  59  60  61  63  66  67  71  72  75  76  78  79  80  83  84  85  86  90  96  98
 0  1  2  5  6  7  8  9  12  16  19  26  29  32  33  34  35  37  39  41  42  48  49  50  52  53  56  57  62  63  64  67  71  72  73  74  77  78  79  80  81  82  84  85  87  89  90  96  98  99
 0  1  2  4  5  6  8  9  10  11  13  17  18  21  22  23  24  30  33  34  35  39  42  44  45  49  51  53  55  57  59  69  70  71  73  74  75  76  77  78  79  82  83  84  85  88  90  91  95  96
 3  5  6  9  10  12  14  17  18  22  24  25  26  28  30  33  35  36  38  40  41  42  45  48  50  55  60  61  63  64  65  70  71  74  75  79  81  83  84  85  88  89  90  91  92  93  94  95  96  98
 0  1  2  6  7  8  9  11  13  15  16  18  21  22  25  27  29  30  31  34  35  40  41  44  47  51  53  54  59  60  61  62  63  64  66  67  68  69  70  72  76  79  84  85  86  87  90  93  98  99
 1  6  7  8  9  10  12  16  17  20  22  23  25  26  27  30  31  33  35  36  37  38  45  49  52  53  54  57  58  63  64  67  69  70  71  73  74  75  76  78  80  85  86  88  90  91  93  94  95  98
 0  1  3  4  5  7  9  10  11  12  13  15  16  18  19  21  23  24  29  32  38  39  44  46  48  49  51  53  54  57  58  61  62  63  64  68  70  71  72  74  75  78  81  83  85  86  91  95  97  98
 1  2  3  7  9  10  11  12  13  15  16  17  19  20  24  25  26  28  29  32  34  35  40  43  46  49  54  58  59  62  64  65  66  67  71  72  77  80  81  83  84  85  88  90  92  93  94  95  96  97
 0  1  2  3  5  6  7  10  11  18  20  22  23  25  28  33  35  36  37  38  39  41  44  45  46  48  49  50  51  52  53  56  57  61  63  64  67  69  70  73  74  75  77  78  79  80  81  82  96  97
 0  1  2  4  5  6  7  9  11  12  14  15  16  19  20  21  27  29  34  36  38  40  41  46  47  48  49  50  51  52  54  58  59  61  63  66  67  68  70  71  73  77  78  79  81  82  89  90  97  99
 2  4  5  7  9  14  15  16  17  18  21  22  23  24  25  26  27  28  29  34  35  36  39  42  43  44  45  46  48  49  50  53  54  55  58  65  66  67  69  72  73  74  78  82  86  88  93  95  96  98
 2  5  6  8  13  15  18  19  22  25  27  29  32  33  36  38  39  40  41  44  45  49  51  53  54  55  57  59  63  65  67  68  69  70  72  73  74  75  76  77  80  81  82  83  84  85  88  90  95  96
 0  2  3  5  6  7  8  9  10  11  14  15  19  22  23  25  26  29  31  34  36  37  39  41  43  44  46  47  48  50  51  54  57  58  60  61  64  66  68  72  74  76  78  80  85  90  91  92  96  97
 3  5  8  9  11  20  21  23  24  25  26  29  31  32  34  35  39  40  41  45  48  49  51  53  54  57  58  61  63  64  65  66  68  69  70  72  73  75  76  80  81  83  84  85  88  91  92  93  94  97
 0  5  8  9  10  11  12  15  17  18  19  20  22  24  26  27  29  30  33  34  35  40  44  45  48  49  51  52  53  55  56  57  58  59  60  67  68  73  76  77  82  83  87  88  91  92  93  94  96  99
 0  1  2  4  5  6  7  9  10  11  13  14  16  18  20  22  23  28  29  31  36  40  41  42  45  46  47  49  50  53  54  55  64  65  67  68  69  70  71  74  76  81  82  85  89  91  94  97  98  99
 0  4  5  6  7  8  9  12  13  14  17  18  20  26  27  28  30  32  33  35  37  38  39  40  44  45  48  49  50  51  53  56  57  58  59  61  62  67  71  76  77  78  79  80  81  89  90  93  98  99
 0  3  4  6  7  8  9  11  14  16  18  19  23  25  30  33  34  37  38  40  45  46  48  52  53  54  55  57  59  60  61  62  63  65  66  70  72  75  77  78  84  87  89  90  91  92  93  94  97  99
 1  2  3  6  7  9  10  11  12  13  16  17  18  21  22  29  30  32  36  38  39  40  41  45  47  48  50  51  52  55  56  59  61  64  68  72  75  76  78  80  83  84  86  88  90  91  92  94  96  97
 3  4  5  6  7  10  15  16  17  18  20  22  23  24  25  26  32  36  37  38  40  43  45  46  47  50  53  54  59  62  63  65  68  70  71  75  76  77  79  82  84  86  87  88  89  92  94  95  98  99
 0  2  10  11  12  16  19  20  21  26  27  28  29  32  33  36  37  38  40  41  43  45  46  47  49  51  52  54  55  63  64  65  68  69  70  71  75  79  82  83  84  85  86  87  89  90  91  92  94  95
 1  2  3  4  6  9  10  11  14  15  17  18  20  21  22  24  25  29  32  33  34  35  38  39  42  43  44  45  46  50  51  53  57  59  62  66  68  70  71  73  75  76  80  82  87  88  89  93  94  98
 2  4  5  6  8  10  11  14  16  18  19  20  21  26  27  30  31  33  34  38  39  40  44  45  46  48  51  52  54  56  59  61  63  65  67  69  71  73  74  76  78  79  86  89  90  91  92  96  97  98
 6  7  9  10  13  14  15  17  19  20  24  25  28  33  34  35  36  38  39  40  41  44  46  47  48  52  54  58  59  60  61  64  66  67  68  69  71  75  76  80  81  83  84  85  86  87  88  94  96  97
 1  2  3  5  7  9  11  12  13  14  18  19  21  27  28  30  31  32  34  36  39  43  46  47  49  51  53  60  61  62  63  65  66  67  69  70  73  77  78  80  85  86  87  88  89  90  94  96  97  98
 2  4  7  8  9  14  16  17  19  22  24  26  27  28  30  31  32  34  35  37  38  45  48  50  52  53  57  60  61  62  65  66  68  69  71  72  74  78  80  81  85  86  88  89  92  95  96  97  98  99
 0  2  6  7  8  9  11  13  14  16  17  18  19  20  25  27  29  31  33  34  36  38  40  43  44  48  49  50  52  53  57  61  62  64  65  66  69  70  72  75  76  79  80  82  87  89  90  92  94  97
