 39  49  58  72  97
 45  57  61  65  80
 28  63  64  70  86
 13  24  64  79  80
 3  22  25  83  98
 43  49  57  67  79
 10  29  34  53  90
 11  21  29  62  82
 1  14  31  36  76
 9  10  40  61  68
 5  56  74  76  89
 28  34  60  83  95
 19  24  26  88  89
 52  56  57  59  79
 20  59  62  67  81
 10  23  42  89  90
 17  42  66  86  89
 12  36  39  52  89
 13  14  50  69  82
 2  7  21  35  52
 8  50  67  79  93
 36  37  56  61  72
 12  21  22  45  63
 56  68  78  80  99
 5  21  27  31  50
 23  31  55  70  92
 27  43  48  55  85
 15  54  75  84  92
 7  60  67  76  77
 5  38  75  91  93
 13  22  25  38  80
 30  65  69  86  88
 2  15  58  60  70
 11  15  57  72  97
 14  25  31  63  64
 22  37  45  52  77
 11  19  40  63  90
 1  15  17  46  47
 45  57  66  78  85
 53  61  71  75  92
 24  57  73  83  95
 8  11  65  90  98
 4  15  23  44  94
 3  19  30  57  72
 41  47  51  61  91
 17  19  32  41  61
 31  36  42  43  73
 9  30  81  91  92
 8  32  66  75  94
 30  41  66  81  96
 11  22  71  84  96
 22  24  61  68  88
 10  51  53  80  90
 4  14  60  65  74
 2  23  63  78  82
 34  38  81  90  97
 26  50  59  78  94
 7  22  25  61  87
 13  52  53  66  71
 4  44  53  62  76
 47  49  51  74  93
 9  12  82  87  91
 17  24  61  94  96
 0  21  57  65  75
 18  68  71  81  89
 7  59  62  76  81
 21  63  78  81  94
 2  3  7  42  76
 7  23  29  31  45
 46  57  87  98  99
 55  64  69  70  96
 8  20  39  53  88
 8  35  42  68  98
 1  10  35  69  81
 21  34  77  86  98
 5  25  28  68  86
 7  13  23  54  94
 36  64  82  86  99
 6  19  34  49  69
 18  53  64  81  87
 20  26  27  81  83
 5  6  51  56  89
 2  4  74  88  98
 37  61  82  90  92
 2  73  80  92  95
 0  19  55  66  67
 11  46  72  73  81
 20  21  52  60  97
 18  49  54  76  98
 11  56  73  74  77
 17  53  83  84  88
 32  66  75  87  93
 16  29  47  54  60
 22  44  53  84  86
 4  13  25  52  65
 15  54  86  90  92
 1  28  46  50  66
 32  42  52  68  89
 3  29  36  42  55
 4  30  37  67  89
 26  58  81  87  95
 8  23  38  72  97
 28  30  77  93  96
 19  33  35  44  94
 19  33  61  64  65
 10  20  57  78  80
 10  17  54  90  99
 17  37  44  61  78
 40  51  63  90  94
 20  22  37  62  87
 19  26  62  70  96
 27  34  53  66  71
 40  44  50  63  77
 8  33  39  63  91
 30  63  67  88  94
 14  41  52  68  95
 4  15  54  60  67
 8  24  34  47  73
 13  42  63  96  98
 48  52  66  76  85
 17  44  51  52  64
 11  31  56  61  77
 16  24  40  51  74
 0  3  5  35  82
 14  43  45  51  92
 11  29  47  58  99
 14  55  58  65  75
 13  62  67  70  84
 17  43  47  59  80
 23  42  48  89  90
 0  19  66  68  98
 16  50  60  77  87
 23  31  58  65  83
 45  48  54  82  84
 40  42  57  64  97
 11  12  29  35  37
 14  23  36  39  49
 5  47  57  78  93
 32  47  79  83  86
 0  29  40  51  72
 36  76  80  83  95
 37  65  66  69  91
 14  21  42  56  58
 1  53  57  90  91
 24  38  65  73  84
 0  16  22  78  84
 53  55  62  65  92
 35  52  80  83  84
 18  21  37  40  46
 6  7  49  50  71
 7  19  70  71  99
 10  32  52  90  98
 6  20  40  74  87
 27  40  57  80  92
 13  18  32  47  49
 6  34  51  68  96
 12  50  63  71  96
 22  46  51  70  98
 7  33  72  82  93
 6  41  54  83  85
 78  80  87  91  99
 26  57  64  72  88
 15  45  48  63  99
 14  25  37  73  90
 6  19  32  44  64
 12  43  66  75  90
 7  15  20  28  35
 13  14  20  52  72
 10  15  38  49  75
 0  16  63  89  98
 12  21  54  77  79
 16  47  59  65  88
 0  11  12  46  81
 9  46  66  76  96
 9  31  73  84  90
 15  37  46  55  68
 1  10  44  50  64
 54  55  74  85  89
 1  7  10  53  81
 9  10  77  78  94
 9  18  27  41  71
 9  28  31  79  95
 21  24  27  64  83
 24  26  37  79  80
 3  14  15  56  69
 5  6  64  71  81
 43  83  84  91  92
 13  72  73  77  79
 59  68  79  82  92
 27  46  50  51  96
 8  47  50  59  69
 20  58  71  77  97
 24  36  64  69  97
 5  27  30  36  90
 17  22  54  61  63
 13  20  29  44  59
 17  28  57  78  98
 8  52  70  73  75
 6  16  30  36  77
 0  19  39  75  89
 6  52  57  58  61
 15  32  62  75  85
 0  2  24  48  54
 14  52  62  68  97
 3  11  60  62  77
 29  59  93  95  97
 16  24  27  28  89
 12  24  46  51  56
 11  63  77  94  99
 3  54  77  89  95
 7  16  34  80  87
 22  23  27  78  96
 29  34  72  80  94
 22  24  39  59  85
 39  46  68  76  83
 48  52  63  65  86
 12  31  60  66  68
 4  22  23  38  39
 45  62  76  91  98
 28  29  40  57  90
 20  38  92  98  99
 15  22  23  57  72
 3  35  58  78  96
 10  24  34  62  81
 17  35  72  74  84
 0  33  79  90  99
 28  35  52  77  86
 1  5  19  22  36
 11  25  43  60  93
 0  32  74  76  97
 60  74  89  92  93
 9  30  32  66  89
 4  19  33  53  58
 13  31  54  63  75
 2  54  78  96  98
 8  9  10  17  76
