23 74 120 407 436 439 446 461 467 472 474 475 516 571 613 
34 75 124 407 436 440 447 462 467 472 475 489 571 613 
22 76 296 408 432 441 448 461 467 472 475 516 571 613 
37 76 306 409 429 440 448 462 468 472 475 516 571 613 
12 76 365 407 436 440 449 463 468 473 475 516 572 613 
21 76 343 410 437 440 447 463 467 473 475 516 571 613 
33 76 214 411 427 442 450 461 468 473 475 492 573 613 
36 75 288 408 432 440 447 462 467 472 475 521 571 614 
15 76 104 410 437 439 449 461 467 473 475 526 571 614 
26 76 214 407 436 440 447 462 467 472 475 516 571 614 
21 76 341 412 433 440 447 462 468 472 475 553 571 614 
14 74 193 407 436 440 449 462 469 472 475 516 574 614 
7 76 171 407 436 439 446 464 467 473 475 506 571 613 
16 76 283 413 435 439 451 461 468 472 475 526 571 613 
24 76 171 414 434 440 452 462 469 472 475 516 575 614 
18 76 316 415 426 440 453 462 470 472 475 521 576 613 
9 75 244 408 432 439 454 464 467 472 475 511 571 613 
16 76 255 408 432 439 455 465 467 472 475 516 571 613 
22 76 86 409 429 440 451 462 467 472 475 526 571 613 
27 75 348 410 437 441 447 465 467 473 475 521 571 614 
24 76 267 416 440 449 462 467 472 475 536 571 614 
38 76 353 408 432 443 450 465 468 473 475 496 571 613 
19 77 119 411 427 440 454 462 468 472 475 516 571 613 
27 76 167 409 429 440 453 462 467 472 516 571 613 
43 76 152 408 432 441 456 465 467 473 475 516 571 613 
40 78 296 407 436 440 456 462 467 472 475 516 571 614 
3 76 225 408 432 439 452 464 467 472 475 516 571 613 
38 79 245 412 433 440 457 462 469 472 475 536 577 614 
23 76 376 408 432 441 447 461 467 472 475 553 571 613 
33 76 267 408 432 440 452 462 467 472 475 516 571 613 
7 78 265 413 435 439 458 461 467 472 475 528 571 613 
4 76 332 412 433 439 451 464 468 472 475 520 571 613 
29 76 384 407 436 441 447 464 467 472 476 516 571 613 
14 77 112 412 433 440 446 464 467 472 475 516 571 613 
6 74 357 412 433 440 450 462 468 472 475 491 571 613 
32 76 312 409 429 439 455 465 467 472 475 516 578 613 
5 76 273 412 433 439 455 464 467 472 475 516 571 613 
3 76 406 408 432 444 446 463 467 473 475 501 571 613 
15 76 124 412 433 440 451 462 467 472 475 514 575 614 
32 75 332 413 435 440 449 462 467 472 475 516 571 613 
15 76 404 411 427 440 455 462 467 472 475 519 571 613 
37 75 129 407 436 440 449 462 467 472 475 516 571 613 
8 76 234 407 436 440 456 462 467 472 475 526 571 613 
33 76 137 408 432 443 446 465 467 473 475 516 571 613 
9 76 348 408 432 439 448 461 467 472 475 511 571 613 
41 77 365 407 436 440 449 462 468 472 475 516 571 614 
37 76 196 408 432 440 455 462 467 472 475 514 571 613 
28 76 175 410 437 441 447 465 467 473 475 516 571 613 
25 74 144 414 434 440 452 462 467 472 475 516 571 613 
13 76 335 414 434 439 449 461 467 472 475 519 571 613 
9 76 90 412 433 440 447 463 471 473 475 516 571 613 
2 76 303 408 432 439 450 464 467 473 475 506 575 613 
31 76 107 417 438 440 449 463 467 473 536 579 614 
34 77 320 407 436 441 447 461 467 472 475 531 571 614 
31 80 153 408 432 441 447 461 467 472 475 536 571 613 
27 76 308 412 433 440 456 462 467 472 475 516 571 614 
30 76 296 418 425 440 455 462 467 472 475 516 576 613 
19 76 109 414 434 440 450 462 467 472 475 516 578 613 
25 76 199 408 432 440 446 462 467 472 475 524 571 613 
14 76 259 408 432 440 455 462 467 472 474 475 516 571 613 
14 76 112 407 436 440 451 462 467 472 474 475 516 571 613 
16 79 348 415 426 442 457 461 467 472 475 516 575 613 
32 76 204 408 432 440 453 462 467 472 475 516 571 613 
26 76 167 416 440 449 462 467 472 475 521 571 614 
13 76 147 412 433 441 456 461 467 472 475 534 571 613 
20 76 211 408 432 440 452 462 467 472 475 516 571 613 
12 76 252 412 433 441 446 461 467 473 475 516 571 613 
37 76 229 408 432 440 446 463 467 473 475 516 571 614 
33 80 265 412 433 440 447 462 467 472 475 526 571 614 
9 79 278 412 433 439 457 464 467 472 475 516 571 613 
3 76 144 412 433 439 449 464 467 472 475 508 571 613 
15 76 356 407 436 443 451 464 468 473 475 516 571 613 
13 75 216 407 436 440 451 462 467 472 475 545 571 614 
7 76 290 412 433 439 455 461 467 472 475 516 571 613 
63 76 174 412 433 440 449 466 467 472 475 496 571 613 
11 76 295 408 432 439 450 464 467 472 475 516 576 613 
24 76 90 413 435 440 446 462 467 472 475 516 571 613 
51 79 294 419 428 440 457 462 467 472 475 478 571 613 
2 76 355 409 429 439 450 464 467 473 475 498 571 613 
15 78 174 415 426 440 454 462 467 472 475 516 571 613 
2 76 398 408 432 439 451 461 467 472 475 506 571 613 
36 76 339 407 436 440 450 462 467 472 475 516 572 613 
30 76 107 408 432 440 450 463 467 473 475 516 571 613 
43 76 214 408 432 440 451 462 467 472 475 524 571 613 
28 76 368 408 432 441 452 461 467 473 475 516 571 614 
37 76 372 408 432 441 451 464 467 473 475 511 571 613 
33 78 334 408 432 440 458 462 467 472 475 516 571 614 
17 76 279 410 437 440 449 462 467 472 475 526 571 613 
14 76 108 411 427 439 451 461 467 472 475 516 571 613 
27 77 388 416 439 449 461 467 473 475 526 571 614 
41 76 318 414 434 440 449 462 467 472 475 516 571 613 
21 76 344 412 433 441 452 465 467 473 475 516 571 613 
12 76 293 412 433 441 455 465 468 473 475 501 571 613 
14 76 167 408 432 440 451 463 469 473 511 575 613 
18 78 302 407 436 440 458 462 467 472 475 516 571 614 
13 78 165 412 433 439 448 461 467 472 475 526 571 613 
32 75 265 416 440 449 462 467 472 536 571 614 
21 76 280 412 433 440 451 462 467 472 475 524 571 614 
32 76 232 413 435 441 447 465 467 473 475 516 580 613 
16 77 318 408 432 439 450 464 468 472 475 516 571 613 
60 76 174 410 437 440 447 462 467 472 475 516 571 614 
28 76 273 407 436 440 447 462 467 472 475 536 571 614 
31 75 202 410 437 439 449 461 467 473 475 526 571 613 
4 76 259 412 433 439 456 464 467 473 475 516 571 613 
13 76 147 408 432 439 452 461 467 472 475 516 571 613 
16 80 358 408 432 440 452 462 467 472 475 516 571 614 
1 79 354 419 428 439 457 464 467 473 475 508 571 613 
14 76 270 409 429 439 448 464 467 472 475 516 571 613 
15 78 261 408 432 439 446 461 467 473 475 516 571 613 
26 76 174 408 432 440 448 462 467 472 475 516 571 613 
8 76 392 407 436 439 451 466 467 472 475 516 571 613 
22 76 113 417 438 440 449 462 467 472 475 516 571 614 
40 75 364 408 432 440 450 462 467 472 526 581 614 
12 76 382 412 433 440 451 463 467 473 474 475 501 571 613 
20 76 147 408 432 439 455 464 467 473 475 516 571 613 
37 76 139 411 427 440 448 462 467 472 475 526 571 613 
40 80 353 412 433 440 451 462 467 472 475 526 571 613 
33 78 273 414 434 440 452 462 468 472 475 516 571 614 
39 76 316 412 433 440 451 462 467 472 475 532 571 613 
6 76 146 408 432 439 452 461 467 472 475 517 571 613 
5 76 278 412 433 439 450 464 467 473 475 516 571 613 
24 76 168 407 436 440 447 462 467 472 475 536 571 613 
14 76 119 407 436 439 447 464 468 472 475 516 582 613 
13 74 334 407 436 440 449 462 467 472 475 526 571 614 
3 76 352 412 433 439 450 464 468 472 475 511 571 613 
31 76 345 407 436 440 447 463 467 473 475 516 571 614 
4 76 157 412 433 439 446 464 467 473 504 571 613 
15 76 164 413 435 440 446 462 467 472 475 516 571 614 
